,brand,city_state,frequency,zip_list
143,Portland,"Las Vegas, NV",1,"[89101, 89102, 89103, 89104, 89119, 89106, 89107, 89108, 89109, 89110, 89142, 89113, 89115, 89117, 89118, 89120, 89121, 89122, 89123, 89124, 89128, 89129, 89130, 89131, 89134, 89135, 89144, 89138, 89139, 89141, 89143, 89145, 89146, 89147, 89148, 89149, 89156, 89161, 89166, 89169, 89178, 89179, 89183]"
144,Charlotte,"Lexington, KY",1,"[40502, 40503, 40504, 40505, 40506, 40507, 40508, 40509, 40510, 40511, 40513, 40514, 40515, 40516, 40517]"
145,San_Diego,"Lexington, KY",1,"[40502, 40503, 40504, 40505, 40506, 40507, 40508, 40509, 40510, 40511, 40513, 40514, 40515, 40516, 40517]"
146,Charlotte,"Middletown, PA",1,[17057]
147,Charlotte,"Mooresville, NC",1,"[28115, 28117]"
148,Charlotte,"Newport, RI",1,"['02840', '02841']"
149,Charlotte,"Pearland, TX",1,"[77581, 77584]"
150,Charlotte,"Peoria, IL",2,"[61602, 61603, 61604, 61605, 61606, 61607, 61614, 61615, 61625]"
151,Charlotte,"Redondo Beach, CA",1,"[90277, 90278]"
152,Charlotte,"Romulus, MI",1,[48174]
153,RDU,"Romulus, MI",1,[48174]
154,Charlotte,"Sarasota, FL",3,"[34236, 34231, 34232, 34233, 34234, 34235, 34237, 34238, 34239, 34240, 34241, 34242, 34243]"
155,Charlotte,"Scottsdale, AZ",3,"[85250, 85251, 85254, 85255, 85256, 85257, 85258, 85259, 85260, 85262, 85266]"
156,Charlotte,"Spartanburg, SC",1,"[29301, 29302, 29303, 29306, 29307]"
157,Charlotte,"Springfield, MO",2,"[65802, 65803, 65804, 65806, 65807, 65809, 65810]"
158,Charlotte,"Syracuse, NY",1,"[13202, 13203, 13204, 13205, 13206, 13207, 13208, 13209, 13210, 13211, 13212, 13214, 13215, 13219, 13224, 13290]"
159,Charlotte,"Tallahassee, FL",1,"[32301, 32303, 32304, 32305, 32310, 32308, 32309, 32311, 32312, 32317, 32399]"
